x,y
129.9,-1.95378e+06
130,2.20541e+06
130.1,-1.74672e+06
130.2,722417
130.3,539659
130.4,-1.63345e+06
130.5,2.20531e+06
130.6,-2.06837e+06
130.7,1.26353e+06
130.8,-47387.9
130.9,-1.18962e+06
131,2.04853e+06
131.1,-2.25051e+06
131.2,1.72741e+06
131.3,-644651
131.4,-651012
131.5,1.74258e+06
131.6,-2.27697e+06
131.7,2.07925e+06
131.8,-1.20988e+06
131.9,-53747.6
132,1.30579e+06
132.1,-2.14227e+06
132.2,2.29148e+06
132.3,-1.70214e+06
132.4,561039
132.5,766221
132.6,-1.85231e+06
132.7,2.34578e+06
132.8,-2.08475e+06
132.9,1.15002e+06
133,159905
133.1,-1.42416e+06
133.2,2.23469e+06
133.3,-2.32799e+06
133.4,1.67073e+06
133.5,-471564
133.6,-885113
133.7,1.96236e+06
133.8,-2.41141e+06
133.9,2.08459e+06
134,-1.08385e+06
134.1,-270994
134.2,1.54448e+06
134.3,-2.32544e+06
134.4,2.35975e+06
134.5,-1.63299e+06
134.6,376229
134.7,1.0075e+06
134.8,-2.07239e+06
134.9,2.47351e+06
135,-2.07852e+06
135.1,1.01128e+06
135.2,386906
135.3,-1.66649e+06
135.4,2.41418e+06
135.5,-2.38642e+06
135.6,1.58875e+06
135.7,-275052
135.8,-1.13317e+06
135.9,2.18209e+06
136,-2.53175e+06
136.1,2.06628e+06
136.2,-932238
136.3,-507512
136.4,1.78989e+06
136.5,-2.50054e+06
136.6,2.40772e+06
136.7,-1.53783e+06
136.8,168073
136.9,1.26191e+06
137,-2.2911e+06
137.1,2.58577e+06
137.2,-2.04764e+06
137.3,846665
137.4,632663
137.5,-1.91437e+06
137.6,2.58417e+06
137.7,-2.42332e+06
137.8,1.4801e+06
137.9,-55349.3
138,-1.39345e+06
138.1,2.39908e+06
138.2,-2.63522e+06
138.3,2.02237e+06
138.4,-754526
138.5,-762193
138.6,2.03963e+06
138.7,-2.66469e+06
138.8,2.43294e+06
138.9,-1.41542e+06
139,-63040.5
139.1,1.52755e+06
139.2,-2.50566e+06
139.3,2.67976e+06
139.4,-1.99025e+06
139.5,655802
139.6,895912
139.7,-2.16531e+06
139.8,2.74174e+06
139.9,-2.43628e+06
140,1.34368e+06
140.1,186998
140.2,-1.66392e+06
140.3,2.61046e+06
140.4,-2.71904e+06
140.5,1.95106e+06
140.6,-550494
140.7,-1.03361e+06
140.8,2.29108e+06
140.9,-2.81493e+06
141,2.43305e+06
141.1,-1.26478e+06
141.2,-316404
141.3,1.80225e+06
141.4,-2.7131e+06
141.5,2.75272e+06
141.6,-1.90463e+06
141.7,438621
141.8,1.17507e+06
141.9,-2.41657e+06
142,2.88388e+06
142.1,-2.42299e+06
142.2,1.17864e+06
142.3,451118
142.4,-1.94224e+06
142.5,2.81319e+06
142.6,-2.78045e+06
142.7,1.85076e+06
142.8,-320226
142.9,-1.32002e+06
143,2.5414e+06
143.1,-2.9482e+06
143.2,2.40581e+06
143.3,-1.08519e+06
143.4,-590978
143.5,2.08354e+06
143.6,-2.91033e+06
143.7,2.80189e+06
143.8,-1.7893e+06
143.9,195370
144,1.46821e+06
144.1,-2.66518e+06
144.2,3.00752e+06
144.3,-2.38127e+06
144.4,984383
144.5,735801
144.6,-2.22581e+06
144.7,3.00411e+06
144.8,-2.81672e+06
144.9,1.72009e+06
145,-64137.5
145.1,-1.61935e+06
145.2,2.78751e+06
145.3,-3.06145e+06
145.4,2.34913e+06
145.5,-876209
145.6,-885380
145.7,2.36867e+06
145.8,-3.09411e+06
145.9,2.82461e+06
146,-1.643e+06
146.1,-73365.2
146.2,1.77312e+06
146.3,-2.90798e+06
146.4,3.1096e+06
